Location_Regex,n_both,n_total,Normalized_Mentions
aagtekerke,0,3,0.0
aalsmeer,8,44,0.18181818181818182
aalst,11,93,0.11827956989247312
aalten,11,45,0.24444444444444444
ter.?aar,21,126,0.16666666666666666
aardenburg,4,15,0.26666666666666666
aarlanderveen,3,27,0.1111111111111111
aarle.?rixtel,0,0,0.0
abbekerk,0,2,0.0
abbenbroek,1,13,0.07692307692307693
abcoude.?baambrugge,1,14,0.07142857142857142
abcoude.?proostd(ij|y),1,29,0.034482758620689655
achtkarspelen,0,5,0.0
achttienhoven,0,13,0.0
adorp,0,0,0.0
aduard,1,14,0.07142857142857142
aengwirden,1,2,0.5
akersloot,0,6,0.0
alblas,6,44,0.13636363636363635
alblasserdam,3,21,0.14285714285714285
alem,20,192,0.10416666666666667
alkemade,6,35,0.17142857142857143
alkmaar,17,202,0.08415841584158416
almelo,33,174,0.1896551724137931
almelo,33,174,0.1896551724137931
almkerk,0,5,0.0
alphen,25,111,0.22522522522522523
alphen,25,111,0.22522522522522523
amb(ij|y),0,2,0.0
ameide,5,31,0.16129032258064516
ameland,5,30,0.16666666666666666
amerongen,12,59,0.2033898305084746
amersfoort,23,168,0.13690476190476192
ammerstol,1,5,0.2
ammerzoden,7,22,0.3181818181818182
amstenrade,0,1,0.0
amste.?dam|amst\.,333,2987,0.11148309340475393
andel,442,4375,0.10102857142857143
and(ij|y)k,5,16,0.3125
angerlo,0,6,0.0
ankeveen,0,3,0.0
anlo,6,61,0.09836065573770492
apeldoorn,15,101,0.1485148514851485
appeltern,0,0,0.0
appingedam,3,11,0.2727272727272727
arcen.?en.?velden,0,1,0.0
arkel,4,17,0.23529411764705882
arnemuiden,3,13,0.23076923076923078
arnh(em|\.),138,846,0.16312056737588654
asperen,16,34,0.47058823529411764
assen,146,1214,0.12026359143327842
assendelft,3,25,0.12
asten,229,1027,0.22297955209347614
avenhorn,1,10,0.1
avereest,8,33,0.24242424242424243
axel,0,18,0.0
baarderadeel,0,6,0.0
baardw(ij|y)k,2,9,0.2222222222222222
baarland,0,0,0.0
baarle.?nassau,2,10,0.2
baarn,6,53,0.11320754716981132
baexem,0,0,0.0
baflo,0,5,0.0
bakel,0,4,0.0
balgo(ij|y),0,0,0.0
barendrecht,5,34,0.14705882352941177
barneveld,5,30,0.16666666666666666
barradeel,7,20,0.35
barsingerhorn,1,5,0.2
barwoutswaarder,8,22,0.36363636363636365
batenburg,0,22,0.0
bathmen,0,0,0.0
bedum,2,5,0.4
beegden,0,1,0.0
beek,45,433,0.10392609699769054
beek.?en.?donk,0,5,0.0
beemster,1,22,0.045454545454545456
beers,3,24,0.125
beerta,6,23,0.2608695652173913
beesd,3,5,0.6
beesel,0,1,0.0
beets,4,30,0.13333333333333333
nieuw.?be(ij|y)erland,4,21,0.19047619047619047
oud.?be(ij|y)erland,6,31,0.1935483870967742
zuid.?be(ij|y)erland,1,20,0.05
beilen,2,12,0.16666666666666666
belfeld,0,1,0.0
bellingewolde,0,0,0.0
bemelen,0,0,0.0
bemmel,3,36,0.08333333333333333
bennebroek,0,5,0.0
benschop,3,14,0.21428571428571427
benthuizen,6,24,0.25
berchem,0,6,0.0
berg.?en.?terbl(ij|y)t,0,0,0.0
bergambacht,1,14,0.07142857142857142
berge(ij|y)k,0,0,0.0
bergen,95,762,0.12467191601049869
bergen,95,762,0.12467191601049869
berg(.?)en.?op.?zoom,34,167,0.20359281437125748
bergh,9,145,0.06206896551724138
bergharen,0,2,0.0
bergschenhoek,5,15,0.3333333333333333
berkel,9,61,0.14754098360655737
berkel.?en.?rodenr(ij|y)s,1,8,0.125
berkenwoude,1,10,0.1
berkhout,6,49,0.12244897959183673
berlicum,1,7,0.14285714285714285
beso(ij|y)en,1,17,0.058823529411764705
best,513,4503,0.11392405063291139
beugen,2,14,0.14285714285714285
beuningen,0,0,0.0
beusichem,5,10,0.5
beverw(ij|y)k,2,31,0.06451612903225806
bierum,9,31,0.2903225806451613
biervliet,1,5,0.2
biggekerke,0,2,0.0
de.?bilt,3,12,0.25
bingelrade,0,1,0.0
bladel,1,7,0.14285714285714285
blankenham,1,1,1.0
blaricum,2,3,0.6666666666666666
bleisw(ij|y)k,3,24,0.125
bleskensgraaf.?en.?hofwege(n?),0,1,0.0
bloemendaal,2,33,0.06060606060606061
blokker,1,13,0.07692307692307693
blokz(ij|y)l,13,29,0.4482758620689655
bocholtz,0,0,0.0
bodegraven,13,48,0.2708333333333333
boekel,0,0,0.0
bokhoven,1,6,0.16666666666666666
bolsward,1,81,0.012345679012345678
den.?bommel,4,31,0.12903225806451613
zalt.?bommel,20,57,0.3508771929824561
borculo,0,8,0.0
borger,3,27,0.1111111111111111
borgharen,0,1,0.0
borkel.?en.?schaft,0,0,0.0
born,24,208,0.11538461538461539
borne,21,177,0.11864406779661017
borsselen?,0,1,0.0
boschkapelle,0,0,0.0
boskoop,7,35,0.2
bovenkarspel,0,0,0.0
boxmeer,2,17,0.11764705882352941
boxtel,18,71,0.2535211267605634
brakel,6,22,0.2727272727272727
brandw(ij|y)k,1,14,0.07142857142857142
breda,89,463,0.19222462203023757
breskens,7,30,0.23333333333333334
breukelen.?n(ij|y)enrode,1,15,0.06666666666666667
breukelen.?(st.?|sint).?pieters,3,10,0.3
brielle,8,189,0.042328042328042326
broek,54,500,0.108
broek.?in.?waterland,1,15,0.06666666666666667
broek.?op.?langend(ij|y)k,0,0,0.0
broekhu(ij|y|i)(s|z)en,4,24,0.16666666666666666
broeksittard,0,0,0.0
brouwershaven,12,127,0.09448818897637795
bruinisse,5,10,0.5
brummen,3,19,0.15789473684210525
brunssum,0,0,0.0
budel,0,0,0.0
buggenum,0,2,0.0
buiksloot,1,22,0.045454545454545456
bunde,28,334,0.08383233532934131
bunnik,2,10,0.2
bunschoten,4,12,0.3333333333333333
buren,18,121,0.1487603305785124
burgh,14,110,0.12727272727272726
bussum,2,2,1.0
buurmalsen,1,3,0.3333333333333333
cadier.?en.?keer,0,0,0.0
cadzand,0,1,0.0
callantsoog,0,7,0.0
capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel,2,18,0.1111111111111111
cappelle,10,14,0.7142857142857143
castricum,0,5,0.0
chaam,39,345,0.11304347826086956
charlois,4,38,0.10526315789473684
clinge,0,6,0.0
coevorden,6,37,0.16216216216216217
col(ij|y)nsplaat,0,2,0.0
cothen,0,8,0.0
cromvoirt,0,2,0.0
cu(ij|y)k,3,18,0.16666666666666666
cule(n|m)b(o|u)rg|kuilenb(u|o)rg,15,77,0.19480519480519481
dalen,14,187,0.0748663101604278
dalfsen,14,53,0.2641509433962264
dantumadeel,1,2,0.5
de.?werke(n|n.?e?n?.? sleeuwijk),44,206,0.21359223300970873
deil,7,63,0.1111111111111111
delden,13,92,0.14130434782608695
delden,13,92,0.14130434782608695
delf(t?)shaven,10,81,0.12345679012345678
delft,286,778,0.3676092544987147
delfz(ij|y)l,14,102,0.13725490196078433
denekamp,4,10,0.4
deurne,2,14,0.14285714285714285
deursen|dennenburg,1,17,0.058823529411764705
devent(er|\.),74,326,0.22699386503067484
didam,0,4,0.0
diede(n|n.?.?demen.?e?n?.?langel),2,9,0.2222222222222222
diemen,0,15,0.0
diepenheim,3,15,0.2
diepenveen,2,4,0.5
diessen,0,0,0.0
diever,2,13,0.15384615384615385
dinteloord|prinsenland,1,6,0.16666666666666666
dinther,0,3,0.0
dinxperlo,0,3,0.0
dirksland,3,22,0.13636363636363635
dodewaard,0,4,0.0
doesburg,11,35,0.3142857142857143
doetin?chem,4,22,0.18181818181818182
doetin?chem,4,22,0.18181818181818182
dokkum,11,44,0.25
domburg,6,23,0.2608695652173913
dommelen,0,2,0.0
dongen,8,151,0.052980132450331126
doniawerstal,1,9,0.1111111111111111
doorn,43,354,0.12146892655367232
doornsp(ij|y)k,0,4,0.0
doorwerth,0,1,0.0
dordrecht|dodrech\.,285,800,0.35625
dreischor,0,1,0.0
dreumel,0,0,0.0
driebergen,5,31,0.16129032258064516
driel,8,48,0.16666666666666666
driewegen,0,1,0.0
drongele(n|n.?.?hangoord.?.?gansoyen.?.?e?n?doevere),0,6,0.0
drunen,2,11,0.18181818181818182
druten,0,11,0.0
dubbeldam,8,34,0.23529411764705882
duiven,6,65,0.09230769230769231
duivend(ij|y)ke,0,2,0.0
duizel|steensel,6,28,0.21428571428571427
den.?dungen,2,14,0.14285714285714285
dussen,7,29,0.2413793103448276
dwingeloo?,1,14,0.07142857142857142
echt,627,5176,0.12113601236476043
echteld,0,1,0.0
edam,264,778,0.3393316195372751
ede,897,9873,0.09085384381646916
eede,239,2233,0.1070309001343484
eelde,106,748,0.14171122994652408
eemnes,4,18,0.2222222222222222
eenrum,1,3,0.3333333333333333
eersel,1,11,0.09090909090909091
egmond.?aan.?zee,0,1,0.0
egmond.?binnen,0,2,0.0
eibergen,4,34,0.11764705882352941
e(ij|y)gelshoven,0,1,0.0
e(ij|y)sden,2,4,0.5
eindhoven,32,170,0.18823529411764706
elburg,55,467,0.11777301927194861
elkerzee,0,0,0.0
ellemeet,2,19,0.10526315789473684
ellewoutsd(ij|y)k,0,1,0.0
elsloo,0,14,0.0
elst,61,545,0.11192660550458716
emmen,108,654,0.1651376146788991
emmikhoven,3,6,0.5
empel|meerwijk,10,225,0.044444444444444446
engelen,1,29,0.034482758620689655
enkhui(z|s)en,10,60,0.16666666666666666
ensch(ede|\.),18,131,0.13740458015267176
epe,394,3756,0.10489882854100106
ermelo,1,7,0.14285714285714285
erp,379,3519,0.10770105143506678
esch,553,4682,0.11811191798376762
escharen,1,4,0.25
est.?en.?op(ij|y)nen,0,0,0.0
etten.?en.?leur,3,11,0.2727272727272727
everdingen,3,16,0.1875
ew(ij|y)k,9,114,0.07894736842105263
ezinge,21,276,0.07608695652173914
ferwerderadeel,0,2,0.0
f(ij|y)naart|he(ij|y)ningen,9,22,0.4090909090909091
finsterwolde?,0,0,0.0
forth.?bath,0,0,0.0
franeker,7,73,0.0958904109589041
franekeradeel|frjentsjerteradiel,1,8,0.125
gaasterland,0,7,0.0
gameren,1,9,0.1111111111111111
gassel,2,17,0.11764705882352941
gasselte,2,15,0.13333333333333333
geertruidenberg,7,21,0.3333333333333333
geervliet,2,22,0.09090909090909091
geffen,0,8,0.0
geldermalsen,5,19,0.2631578947368421
gel(dorp|drop),0,5,0.0
geleen,0,11,0.0
gemert,8,28,0.2857142857142857
gendringen,4,6,0.6666666666666666
genemuiden,7,23,0.30434782608695654
gennep,9,56,0.16071428571428573
gend?t,79,1219,0.06480721903199343
gestel|blaarthem,387,2837,0.13641170250264364
geu(l|lle),2,28,0.07142857142857142
giessen,15,70,0.21428571428571427
giessen.?nieuwkerk,0,1,0.0
giessendam,4,25,0.16
gieten,13,84,0.15476190476190477
giethoorn,7,16,0.4375
gilze.?en.?r(ij|y)en,0,3,0.0
ginneken|bavel,10,39,0.2564102564102564
goedereede,0,21,0.0
g(h?)oes(ch?),0,7,0.0
goirle,0,5,0.0
goor,9,101,0.0891089108910891
gorinchem,69,196,0.3520408163265306
gorssel,0,2,0.0
gouda,257,487,0.5277207392197125
gouderak,3,17,0.17647058823529413
goudriaan,2,28,0.07142857142857142
goudswaard,1,32,0.03125
graauw|langendam,4,49,0.08163265306122448
grafhorst,3,6,0.5
graft,3,27,0.1111111111111111
gramsbergen,2,2,1.0
grathem,0,1,0.0
grave,349,1546,0.2257438551099612
grevenbicht,0,0,0.0
gr(ij|y)pskerk,3,15,0.2
gr(ij|y)pskerke,0,3,0.0
groede,0,1,0.0
groenlo,2,25,0.08
groesbeek,1,2,0.5
gr(ö|o)ning(s|en|\.),268,769,0.34850455136540964
grons(f|v)eld,0,1,0.0
groot.?ammers,0,7,0.0
grootebroek,4,15,0.26666666666666666
grootegast,1,5,0.2
grubbenvorst,0,1,0.0
gulpen,3,3,1.0
haaften,21,63,0.3333333333333333
haaksbergen,1,10,0.1
haamstede,0,0,0.0
haaren,0,12,0.0
ha.?rlem|haarl(am|\.),235,816,0.28799019607843135
haarlemmerliede.?en.?spaarnwoude,1,12,0.08333333333333333
haarlemmermeer,22,80,0.275
haarzuilens,1,19,0.05263157894736842
haastrecht,8,33,0.24242424242424243
haelen,0,1,0.0
hagestein,1,12,0.08333333333333333
halsteren,6,7,0.8571428571428571
den.?ham,10,54,0.18518518518518517
haps,15,82,0.18292682926829268
hardenberg,15,35,0.42857142857142855
hardenberg,15,35,0.42857142857142855
harderw(ij|y)k,19,74,0.25675675675675674
hardinxveld,5,32,0.15625
haren,71,670,0.10597014925373134
harenkarspel,0,1,0.0
harlingen,51,301,0.16943521594684385
harmelen,1,7,0.14285714285714285
haskerland,4,12,0.3333333333333333
hasselt,35,134,0.26119402985074625
hattem,3,27,0.1111111111111111
havelte,0,2,0.0
hazerswoude,8,39,0.20512820512820512
hedel,2,17,0.11764705882352941
hedikhuizen,0,1,0.0
heel.?en.?panheel,0,1,0.0
heemskerk,18,97,0.18556701030927836
heemstede,2,36,0.05555555555555555
heenvliet,0,13,0.0
heer,618,5027,0.12293614481798289
heerde,11,131,0.08396946564885496
heerewaarden,0,0,0.0
heerhugowaard,0,7,0.0
heerjansdam,3,16,0.1875
heerlen,0,1,0.0
heesbeen|eethen|genderen,0,14,0.0
heesch,2,28,0.07142857142857142
heesw(ij|y)k,0,5,0.0
heeze,0,1,0.0
hei.?.?en.?boeicop,0,0,0.0
he(ij|y)thu(ij|y)(s|z)en,0,0,0.0
heille,0,0,0.0
heiloo?,2,7,0.2857142857142857
heinenoord,1,20,0.05
heinkenszand,1,14,0.07142857142857142
heino,1,5,0.2
hekelingen,2,10,0.2
hekendorp,2,18,0.1111111111111111
helden,3,94,0.031914893617021274
helder,56,409,0.13691931540342298
hellendoorn,7,12,0.5833333333333334
