Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b),Aagtekerke,1000,10531,0,3,0.0
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b),Aalsmeer,358,11264,5,36,0.1388888888888889
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b),Aalst,1001,11423,5,40,0.125
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b),Aalten,197,11046,2,15,0.13333333333333333
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b),Aardenburg,648,11020,1,5,0.2
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b),Aarlanderveen,1002,11242,6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b),Aarle-Rixtel,739,10757,2,10,0.2
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b),Abbekerk,359,10439,0,0,0.0
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b),Abbenbroek,481,11026,4,15,0.26666666666666666
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b),Abcoude-Baambrugge,1003,11184,2,8,0.25
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b),Abcoude-Proosdij,1004,10712,3,12,0.25
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b),Achtkarspelen,59,10199,4,12,0.3333333333333333
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b),Achttienhoven (U.),1005,10524,2,16,0.125
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b),Adorp,1,10996,3,5,0.6
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b),Aduard,2,10999,3,18,0.16666666666666666
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b),Aengwirden,1006,10157,1,4,0.25
