Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b),Aagtekerke,1000,10531,0,3,0.0
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b),Aalsmeer,358,11264,7,43,0.16279069767441862
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b),Aalst,1001,11423,0,36,0.0
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b),Aalten,197,11046,2,33,0.06060606060606061
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b),Aardenburg,648,11020,2,4,0.5
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b),Aarlanderveen,1002,11242,3,27,0.1111111111111111
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b),Aarle-Rixtel,739,10757,0,0,0.0
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b),Abbekerk,359,10439,0,2,0.0
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b),Abbenbroek,481,11026,1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b),Abcoude-Baambrugge,1003,11184,1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b),Abcoude-Proosdij,1004,10712,1,29,0.034482758620689655
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b),Achtkarspelen,59,10199,0,5,0.0
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b),Achttienhoven (U.),1005,10524,0,13,0.0
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b),Adorp,1,10996,0,0,0.0
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b),Aduard,2,10999,1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b),Aengwirden,1006,10157,1,2,0.5
(?:[^a-zA-Z]|\b)akersloot(?:[^a-zA-Z]|\b),Akersloot,360,10346,0,6,0.0
(?:[^a-zA-Z]|\b)alblasserdam(?:[^a-zA-Z]|\b),Alblasserdam,482,11327,3,21,0.14285714285714285
(?:[^a-zA-Z]|\b)alem.?maren.?en.?kessel(?:[^a-zA-Z]|\b),"Alem, Maren en Kessel",1007,10495,0,0,0.0
(?:[^a-zA-Z]|\b)alkemade(?:[^a-zA-Z]|\b),Alkemade,483,10349,6,35,0.17142857142857143
(?:[^a-zA-Z]|\b)alkmaar(?:[^a-zA-Z]|\b),Alkmaar,361,10527,17,199,0.08542713567839195
(?:[^a-zA-Z]|\b)almkerk(?:[^a-zA-Z]|\b),Almkerk,740,10788,0,5,0.0
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),Alphen,1008,10517,25,108,0.23148148148148148
(?:[^a-zA-Z]|\b)alphen.?en.?riel(?:[^a-zA-Z]|\b),Alphen en Riel,741,10710,0,8,0.0
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),Ambt Delden,142,11400,13,81,0.16049382716049382
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),Ambt-Almelo,1009,11065,32,169,0.1893491124260355
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b),Ambt-Doetinchem,1010,10396,4,22,0.18181818181818182
(?:[^a-zA-Z]|\b)hardenberg(?:[^a-zA-Z]|\b),Ambt-Hardenberg,1011,10174,15,35,0.42857142857142855
(?:[^a-zA-Z]|\b)ommen(?:[^a-zA-Z]|\b),Ambt-Ommen,1012,11069,22,71,0.30985915492957744
(?:[^a-zA-Z]|\b)vollenhove(?:[^a-zA-Z]|\b),Ambt-Vollenhove,1013,11088,8,23,0.34782608695652173
(?:[^a-zA-Z]|\b)amb(ij|y)(?:[^a-zA-Z]|\b),Amby,883,10922,0,0,0.0
(?:[^a-zA-Z]|\b)ameide(?:[^a-zA-Z]|\b),Ameide,485,11349,5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)ameland(?:[^a-zA-Z]|\b),Ameland,60,11153,5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)amerongen(?:[^a-zA-Z]|\b),Amerongen,306,11372,12,59,0.2033898305084746
(?:[^a-zA-Z]|\b)amersfoort(?:[^a-zA-Z]|\b),Amersfoort,307,10948,23,149,0.15436241610738255
(?:[^a-zA-Z]|\b)ammerstol(?:[^a-zA-Z]|\b),Ammerstol,486,10863,1,5,0.2
(?:[^a-zA-Z]|\b)ammerzoden(?:[^a-zA-Z]|\b),Ammerzoden,198,10151,7,21,0.3333333333333333
(?:[^a-zA-Z]|\b)amstenrade(?:[^a-zA-Z]|\b),Amstenrade,884,10062,0,1,0.0
(?:[^a-zA-Z]|\b)amste.?dam(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)amst\.(?:[^a-zA-Z]|\b),Amsterdam,363,11150,326,2934,0.1111111111111111
(?:[^a-zA-Z]|\b)andel(?:[^a-zA-Z]|\b),Andel,742,10871,13,52,0.25
(?:[^a-zA-Z]|\b)and(ij|y)k(?:[^a-zA-Z]|\b),Andijk,364,10822,4,5,0.8
(?:[^a-zA-Z]|\b)angerlo(?:[^a-zA-Z]|\b),Angerlo,199,11131,0,2,0.0
(?:[^a-zA-Z]|\b)ankeveen(?:[^a-zA-Z]|\b),Ankeveen,1014,10936,0,2,0.0
(?:[^a-zA-Z]|\b)anlo(?:[^a-zA-Z]|\b),Anloo,105,10787,0,3,0.0
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b),Apeldoorn,200,11075,13,97,0.13402061855670103
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b),Appeltern,201,11296,0,0,0.0
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b),Appingedam,3,10886,3,11,0.2727272727272727
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b),Arcen en Velden,885,10202,0,1,0.0
(?:[^a-zA-Z]|\b)arkel(?:[^a-zA-Z]|\b),Arkel,487,10079,1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b),Arnemuiden,649,11419,3,13,0.23076923076923078
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b),Arnhem,202,10795,122,793,0.15384615384615385
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b),Asperen,488,11369,15,31,0.4838709677419355
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b),Assen,106,10522,29,206,0.1407766990291262
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b),Assendelft,367,11373,2,24,0.08333333333333333
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b),Asten,743,10478,3,30,0.1
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b),Avenhorn,368,11147,1,10,0.1
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b),Avereest,143,11190,8,33,0.24242424242424243
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b),Axel,650,11289,0,17,0.0
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b),Baarderadeel,61,10422,0,6,0.0
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b),Baardwijk,1015,10006,0,0,0.0
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b),Baarland,651,10634,0,0,0.0
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b),Baarle-Nassau,744,10060,2,10,0.2
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b),Baarn,308,11411,6,52,0.11538461538461539
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b),Baexem,886,11255,0,0,0.0
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b),Baflo,4,10539,0,5,0.0
(?:[^a-zA-Z]|\b)bakel.?en.?milheeze(?:[^a-zA-Z]|\b),Bakel en Milheeze,745,10749,0,0,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),Balgoij,1016,10849,0,0,0.0
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),Barneveld,203,10906,5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),Barradeel,62,10156,7,20,0.35
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),Barsingerhorn,369,10973,1,5,0.2
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b),Barwoutswaarder,1017,10447,8,22,0.36363636363636365
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b),Batenburg,204,10921,0,22,0.0
(?:[^a-zA-Z]|\b)bath(?:[^a-zA-Z]|\b),Bath,1018,10623,2,4,0.5
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b),Bathmen,144,11030,0,0,0.0
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b),Bedum,5,10425,2,5,0.4
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b),Beegden,887,11089,0,1,0.0
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b),Beek (L.),888,11374,9,126,0.07142857142857142
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b),Beek en Donk,746,10173,0,5,0.0
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b),Beemster,370,10816,1,20,0.05
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b),Beers,747,11410,0,7,0.0
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b),Beerta,6,11043,6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b),Beesd,205,10259,3,5,0.6
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b),Beesel,889,10195,0,1,0.0
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b),Beets,371,10536,1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b),Beilen,107,10520,2,12,0.16666666666666666
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b),Belfeld,890,10292,0,1,0.0
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b),Bellingwolde,1019,10340,0,0,0.0
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b),Bemelen,891,10878,0,0,0.0
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b),Bemmel,206,10744,1,12,0.08333333333333333
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b),Bennebroek,372,10734,0,3,0.0
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b),Benschop,309,11330,3,14,0.21428571428571427
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b),Benthuizen,490,10398,6,24,0.25
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b),Berg en Terblijt,892,10796,0,0,0.0
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b),Bergambacht,491,10962,1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (L.),893,11281,45,350,0.12857142857142856
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (NH.),373,11424,45,350,0.12857142857142856
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b),Bergen op Zoom,748,11037,34,163,0.2085889570552147
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b),Bergeyk,749,11160,0,0,0.0
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b),Bergh,207,10350,2,60,0.03333333333333333
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b),Bergharen,208,10883,0,2,0.0
(?:[^a-zA-Z]|\b)ber(g|c)h?em(?:[^a-zA-Z]|\b),Berghem,750,10733,0,8,0.0
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b),Bergschenhoek,492,10445,5,15,0.3333333333333333
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b),Berkel en Rodenrijs,493,10139,1,8,0.125
(?:[^a-zA-Z]|\b)berkel.?enschot(?:[^a-zA-Z]|\b),Berkel-Enschot,751,11132,0,0,0.0
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b),Berkenwoude,494,10797,1,10,0.1
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b),Berkhout,374,10354,6,49,0.12244897959183673
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b),Berlicum,752,10362,1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b),Besoijen,1020,10056,1,17,0.058823529411764705
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b),Best,753,10442,36,251,0.14342629482071714
(?:[^a-zA-Z]|\b)beugen.?en.?rijkevoort(?:[^a-zA-Z]|\b),Beugen en Rijkevoort,1021,10252,0,0,0.0
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b),Beuningen,209,10417,0,0,0.0
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b),Beusichem,210,11182,5,10,0.5
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b),Beverwijk,375,10272,2,31,0.06451612903225806
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b),Bierum,8,11294,0,0,0.0
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b),Biervliet,652,10257,1,5,0.2
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b),Biggekerke,1022,11364,0,2,0.0
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b),Bingelrade,894,10967,0,1,0.0
(?:[^a-zA-Z]|\b)bladel.?en.?netersel(?:[^a-zA-Z]|\b),Bladel en Netersel,754,11006,0,0,0.0
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b),Blankenham,145,10320,1,1,1.0
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b),Blaricum,376,10493,2,3,0.6666666666666666
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b),Bleiswijk,495,10994,3,24,0.125
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),Bleskensgraaf en Hofwege,496,10451,0,1,0.0
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),Bloemendaal,377,10850,2,30,0.06666666666666667
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),Blokker,378,10804,1,6,0.16666666666666666
