Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b),Aagtekerke,1000,10531,1,4,0.25
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b),Aalsmeer,358,11264,1,27,0.037037037037037035
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b),Aalst,1001,11423,4,30,0.13333333333333333
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b),Aalten,197,11046,0,11,0.0
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b),Aardenburg,648,11020,1,9,0.1111111111111111
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b),Aarlanderveen,1002,11242,9,34,0.2647058823529412
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b),Aarle-Rixtel,739,10757,0,1,0.0
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b),Abbekerk,359,10439,0,5,0.0
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b),Abbenbroek,481,11026,0,13,0.0
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b),Abcoude-Baambrugge,1003,11184,2,37,0.05405405405405406
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b),Abcoude-Proosdij,1004,10712,3,28,0.10714285714285714
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b),Achtkarspelen,59,10199,3,5,0.6
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b),Achttienhoven (U.),1005,10524,3,13,0.23076923076923078
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b),Adorp,1,10996,0,3,0.0
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b),Aduard,2,10999,0,12,0.0
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b),Aengwirden,1006,10157,3,6,0.5
(?:[^a-zA-Z]|\b)akersloot(?:[^a-zA-Z]|\b),Akersloot,360,10346,0,7,0.0
(?:[^a-zA-Z]|\b)alblasserdam(?:[^a-zA-Z]|\b),Alblasserdam,482,11327,4,47,0.0851063829787234
(?:[^a-zA-Z]|\b)alem.?maren.?en.?kessel(?:[^a-zA-Z]|\b),"Alem, Maren en Kessel",1007,10495,0,0,0.0
(?:[^a-zA-Z]|\b)alkemade(?:[^a-zA-Z]|\b),Alkemade,483,10349,1,23,0.043478260869565216
(?:[^a-zA-Z]|\b)alkmaar(?:[^a-zA-Z]|\b),Alkmaar,361,10527,18,185,0.0972972972972973
(?:[^a-zA-Z]|\b)almkerk(?:[^a-zA-Z]|\b),Almkerk,740,10788,11,14,0.7857142857142857
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),Alphen,1008,10517,15,72,0.20833333333333334
(?:[^a-zA-Z]|\b)alphen.?en.?riel(?:[^a-zA-Z]|\b),Alphen en Riel,741,10710,3,3,1.0
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),Ambt Delden,142,11400,11,138,0.07971014492753623
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),Ambt-Almelo,1009,11065,29,160,0.18125
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b),Ambt-Doetinchem,1010,10396,6,47,0.1276595744680851
(?:[^a-zA-Z]|\b)hardenberg(?:[^a-zA-Z]|\b),Ambt-Hardenberg,1011,10174,15,36,0.4166666666666667
(?:[^a-zA-Z]|\b)ommen(?:[^a-zA-Z]|\b),Ambt-Ommen,1012,11069,10,58,0.1724137931034483
(?:[^a-zA-Z]|\b)vollenhove(?:[^a-zA-Z]|\b),Ambt-Vollenhove,1013,11088,9,33,0.2727272727272727
(?:[^a-zA-Z]|\b)amb(ij|y)(?:[^a-zA-Z]|\b),Amby,883,10922,0,0,0.0
(?:[^a-zA-Z]|\b)ameide(?:[^a-zA-Z]|\b),Ameide,485,11349,3,21,0.14285714285714285
(?:[^a-zA-Z]|\b)ameland(?:[^a-zA-Z]|\b),Ameland,60,11153,3,20,0.15
(?:[^a-zA-Z]|\b)amerongen(?:[^a-zA-Z]|\b),Amerongen,306,11372,10,81,0.12345679012345678
(?:[^a-zA-Z]|\b)amersfoort(?:[^a-zA-Z]|\b),Amersfoort,307,10948,94,280,0.3357142857142857
(?:[^a-zA-Z]|\b)ammerstol(?:[^a-zA-Z]|\b),Ammerstol,486,10863,6,12,0.5
(?:[^a-zA-Z]|\b)ammerzoden(?:[^a-zA-Z]|\b),Ammerzoden,198,10151,0,4,0.0
(?:[^a-zA-Z]|\b)amstenrade(?:[^a-zA-Z]|\b),Amstenrade,884,10062,0,0,0.0
(?:[^a-zA-Z]|\b)amste.?dam(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)amst\.(?:[^a-zA-Z]|\b),Amsterdam,363,11150,270,3023,0.08931524975190208
(?:[^a-zA-Z]|\b)andel(?:[^a-zA-Z]|\b),Andel,742,10871,15,40,0.375
(?:[^a-zA-Z]|\b)and(ij|y)k(?:[^a-zA-Z]|\b),Andijk,364,10822,0,1,0.0
(?:[^a-zA-Z]|\b)angerlo(?:[^a-zA-Z]|\b),Angerlo,199,11131,1,10,0.1
(?:[^a-zA-Z]|\b)ankeveen(?:[^a-zA-Z]|\b),Ankeveen,1014,10936,1,9,0.1111111111111111
(?:[^a-zA-Z]|\b)anlo(?:[^a-zA-Z]|\b),Anloo,105,10787,0,8,0.0
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b),Apeldoorn,200,11075,6,92,0.06521739130434782
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b),Appeltern,201,11296,0,3,0.0
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b),Appingedam,3,10886,3,18,0.16666666666666666
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b),Arcen en Velden,885,10202,0,3,0.0
