Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b);Aagtekerke;1000;10531
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b);Aalsmeer;358;11264
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b);Aalst;1001;11423
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b);Aalten;197;11046
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b);Aardenburg;648;11020
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b);Aarlanderveen;1002;11242
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b);Aarle-Rixtel;739;10757
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b);Abbekerk;359;10439
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b);Abbenbroek;481;11026
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b);Abcoude-Baambrugge;1003;11184
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b);Abcoude-Proosdij;1004;10712
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b);Achtkarspelen;59;10199
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b);Achttienhoven (U.);1005;10524
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b);Adorp;1;10996
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b);Aduard;2;10999
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b);Aengwirden;1006;10157
(?:[^a-zA-Z]|\b)akersloot(?:[^a-zA-Z]|\b);Akersloot;360;10346
(?:[^a-zA-Z]|\b)alblasserdam(?:[^a-zA-Z]|\b);Alblasserdam;482;11327
(?:[^a-zA-Z]|\b)alem.?maren.?en.?kessel(?:[^a-zA-Z]|\b);Alem, Maren en Kessel;1007;10495
(?:[^a-zA-Z]|\b)alkemade(?:[^a-zA-Z]|\b);Alkemade;483;10349
(?:[^a-zA-Z]|\b)alkmaar(?:[^a-zA-Z]|\b);Alkmaar;361;10527
(?:[^a-zA-Z]|\b)almkerk(?:[^a-zA-Z]|\b);Almkerk;740;10788
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b);Alphen;1008;10517
(?:[^a-zA-Z]|\b)alphen.?en.?riel(?:[^a-zA-Z]|\b);Alphen en Riel;741;10710
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b);Ambt Delden;142;11400
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b);Ambt-Almelo;1009;11065
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b);Ambt-Doetinchem;1010;10396
(?:[^a-zA-Z]|\b)hardenberg(?:[^a-zA-Z]|\b);Ambt-Hardenberg;1011;10174
(?:[^a-zA-Z]|\b)ommen(?:[^a-zA-Z]|\b);Ambt-Ommen;1012;11069
(?:[^a-zA-Z]|\b)vollenhove(?:[^a-zA-Z]|\b);Ambt-Vollenhove;1013;11088
(?:[^a-zA-Z]|\b)amb(ij|y)(?:[^a-zA-Z]|\b);Amby;883;10922
(?:[^a-zA-Z]|\b)ameide(?:[^a-zA-Z]|\b);Ameide;485;11349
(?:[^a-zA-Z]|\b)ameland(?:[^a-zA-Z]|\b);Ameland;60;11153
(?:[^a-zA-Z]|\b)amerongen(?:[^a-zA-Z]|\b);Amerongen;306;11372
(?:[^a-zA-Z]|\b)amersfoort(?:[^a-zA-Z]|\b);Amersfoort;307;10948
(?:[^a-zA-Z]|\b)ammerstol(?:[^a-zA-Z]|\b);Ammerstol;486;10863
(?:[^a-zA-Z]|\b)ammerzoden(?:[^a-zA-Z]|\b);Ammerzoden;198;10151
(?:[^a-zA-Z]|\b)amstenrade(?:[^a-zA-Z]|\b);Amstenrade;884;10062
(?:[^a-zA-Z]|\b)amste.?dam(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)amst\.(?:[^a-zA-Z]|\b);Amsterdam;363;11150
(?:[^a-zA-Z]|\b)andel(?:[^a-zA-Z]|\b);Andel;742;10871
(?:[^a-zA-Z]|\b)and(ij|y)k(?:[^a-zA-Z]|\b);Andijk;364;10822
(?:[^a-zA-Z]|\b)angerlo(?:[^a-zA-Z]|\b);Angerlo;199;11131
(?:[^a-zA-Z]|\b)ankeveen(?:[^a-zA-Z]|\b);Ankeveen;1014;10936
(?:[^a-zA-Z]|\b)anlo(?:[^a-zA-Z]|\b);Anloo;105;10787
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b);Apeldoorn;200;11075
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b);Appeltern;201;11296
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b);Appingedam;3;10886
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b);Arcen en Velden;885;10202
(?:[^a-zA-Z]|\b)arkel(?:[^a-zA-Z]|\b);Arkel;487;10079
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b);Arnemuiden;649;11419
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b);Arnhem;202;10795
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b);Asperen;488;11369
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b);Assen;106;10522
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b);Assendelft;367;11373
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b);Asten;743;10478
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b);Avenhorn;368;11147
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b);Avereest;143;11190
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b);Axel;650;11289
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b);Baarderadeel;61;10422
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b);Baardwijk;1015;10006
