Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b),7,43,0.16279069767441862
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b),0,36,0.0
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b),2,33,0.06060606060606061
(?:[^a-zA-Z]|\b)ter.?aar(?:[^a-zA-Z]|\b),2,17,0.11764705882352941
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b),2,4,0.5
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b),3,27,0.1111111111111111
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b),1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b),1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b),1,29,0.034482758620689655
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b),0,13,0.0
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b),1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b),1,2,0.5
(?:[^a-zA-Z]|\b)akersloot(?:[^a-zA-Z]|\b),0,6,0.0
(?:[^a-zA-Z]|\b)alblas(?:[^a-zA-Z]|\b),2,11,0.18181818181818182
(?:[^a-zA-Z]|\b)alblasserdam(?:[^a-zA-Z]|\b),3,21,0.14285714285714285
(?:[^a-zA-Z]|\b)alem(?:[^a-zA-Z]|\b),3,10,0.3
(?:[^a-zA-Z]|\b)alkemade(?:[^a-zA-Z]|\b),6,35,0.17142857142857143
(?:[^a-zA-Z]|\b)alkmaar(?:[^a-zA-Z]|\b),17,199,0.08542713567839195
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),32,169,0.1893491124260355
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),32,169,0.1893491124260355
(?:[^a-zA-Z]|\b)almkerk(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),25,108,0.23148148148148148
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),25,108,0.23148148148148148
(?:[^a-zA-Z]|\b)amb(ij|y)(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)ameide(?:[^a-zA-Z]|\b),5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)ameland(?:[^a-zA-Z]|\b),5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)amerongen(?:[^a-zA-Z]|\b),12,59,0.2033898305084746
(?:[^a-zA-Z]|\b)amersfoort(?:[^a-zA-Z]|\b),23,149,0.15436241610738255
(?:[^a-zA-Z]|\b)ammerstol(?:[^a-zA-Z]|\b),1,5,0.2
(?:[^a-zA-Z]|\b)ammerzoden(?:[^a-zA-Z]|\b),7,21,0.3333333333333333
(?:[^a-zA-Z]|\b)amstenrade(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)amste.?dam(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)amst\.(?:[^a-zA-Z]|\b),326,2934,0.1111111111111111
(?:[^a-zA-Z]|\b)andel(?:[^a-zA-Z]|\b),13,52,0.25
(?:[^a-zA-Z]|\b)and(ij|y)k(?:[^a-zA-Z]|\b),4,5,0.8
(?:[^a-zA-Z]|\b)angerlo(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)ankeveen(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)anlo(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b),13,97,0.13402061855670103
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b),3,11,0.2727272727272727
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)arkel(?:[^a-zA-Z]|\b),1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b),3,13,0.23076923076923078
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b),122,793,0.15384615384615385
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b),15,31,0.4838709677419355
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b),29,206,0.1407766990291262
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b),2,24,0.08333333333333333
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b),3,30,0.1
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b),1,10,0.1
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b),8,33,0.24242424242424243
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b),0,17,0.0
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b),0,6,0.0
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b),2,10,0.2
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b),6,52,0.11538461538461539
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)bakel(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)barendrecht(?:[^a-zA-Z]|\b),5,34,0.14705882352941177
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),7,20,0.35
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),1,5,0.2
