Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)aagtekerke(?:[^a-zA-Z]|\b),Aagtekerke,1000,10531,0,1,0.0
(?:[^a-zA-Z]|\b)aalsmeer(?:[^a-zA-Z]|\b),Aalsmeer,358,11264,0,14,0.0
(?:[^a-zA-Z]|\b)aalst(?:[^a-zA-Z]|\b),Aalst,1001,11423,0,50,0.0
(?:[^a-zA-Z]|\b)aalten(?:[^a-zA-Z]|\b),Aalten,197,11046,0,14,0.0
(?:[^a-zA-Z]|\b)aardenburg(?:[^a-zA-Z]|\b),Aardenburg,648,11020,0,17,0.0
(?:[^a-zA-Z]|\b)aarlanderveen(?:[^a-zA-Z]|\b),Aarlanderveen,1002,11242,0,8,0.0
(?:[^a-zA-Z]|\b)aarle.?rixtel(?:[^a-zA-Z]|\b),Aarle-Rixtel,739,10757,0,6,0.0
(?:[^a-zA-Z]|\b)abbekerk(?:[^a-zA-Z]|\b),Abbekerk,359,10439,0,4,0.0
(?:[^a-zA-Z]|\b)abbenbroek(?:[^a-zA-Z]|\b),Abbenbroek,481,11026,0,4,0.0
(?:[^a-zA-Z]|\b)abcoude.?baambrugge(?:[^a-zA-Z]|\b),Abcoude-Baambrugge,1003,11184,0,3,0.0
(?:[^a-zA-Z]|\b)abcoude.?proostd(ij|y)(?:[^a-zA-Z]|\b),Abcoude-Proosdij,1004,10712,0,1,0.0
(?:[^a-zA-Z]|\b)achtkarspelen(?:[^a-zA-Z]|\b),Achtkarspelen,59,10199,0,4,0.0
(?:[^a-zA-Z]|\b)achttienhoven(?:[^a-zA-Z]|\b),Achttienhoven (U.),1005,10524,0,4,0.0
(?:[^a-zA-Z]|\b)adorp(?:[^a-zA-Z]|\b),Adorp,1,10996,3,4,0.75
(?:[^a-zA-Z]|\b)aduard(?:[^a-zA-Z]|\b),Aduard,2,10999,3,7,0.42857142857142855
(?:[^a-zA-Z]|\b)aengwirden(?:[^a-zA-Z]|\b),Aengwirden,1006,10157,0,0,0.0
(?:[^a-zA-Z]|\b)akersloot(?:[^a-zA-Z]|\b),Akersloot,360,10346,0,10,0.0
(?:[^a-zA-Z]|\b)alblasserdam(?:[^a-zA-Z]|\b),Alblasserdam,482,11327,0,6,0.0
(?:[^a-zA-Z]|\b)alem.?maren.?en.?kessel(?:[^a-zA-Z]|\b),"Alem, Maren en Kessel",1007,10495,0,0,0.0
(?:[^a-zA-Z]|\b)alkemade(?:[^a-zA-Z]|\b),Alkemade,483,10349,0,5,0.0
(?:[^a-zA-Z]|\b)alkmaar(?:[^a-zA-Z]|\b),Alkmaar,361,10527,0,189,0.0
(?:[^a-zA-Z]|\b)almkerk(?:[^a-zA-Z]|\b),Almkerk,740,10788,0,8,0.0
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),Alphen,1008,10517,0,105,0.0
(?:[^a-zA-Z]|\b)alphen.?en.?riel(?:[^a-zA-Z]|\b),Alphen en Riel,741,10710,0,0,0.0
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),Ambt Delden,142,11400,0,100,0.0
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),Ambt-Almelo,1009,11065,2,246,0.008130081300813009
