Regex,name,cbscode,amsterdamcode
\baagtekerke\b,Aagtekerke,1000,10531
\baalsmeer\b,Aalsmeer,358,11264
\baalst\b,Aalst,1001,11423
\baalten\b,Aalten,197,11046
\baardenburg\b,Aardenburg,648,11020
\baarlanderveen\b,Aarlanderveen,1002,11242
\baarle[\s\w]?rixtel\b,Aarle-Rixtel,739,10757
\babbekerk\b,Abbekerk,359,10439
\babbenbroek\b,Abbenbroek,481,11026
\babcoude[\s\w]?baambrugge\b,Abcoude-Baambrugge,1003,11184
\babcoude[\s\w]?proostd(ij|y)\b,Abcoude-Proosdij,1004,10712
\bachtkarspelen\b,Achtkarspelen,59,10199
\bachttienhoven\b,Achttienhoven (U.),1005,10524
\badorp\b,Adorp,1,10996
\baduard\b,Aduard,2,10999
\baengwirden\b,Aengwirden,1006,10157
\bakersloot\b,Akersloot,360,10346
\balblasserdam\b,Alblasserdam,482,11327
\balem[\s\w]?maren[\s\w]?en[\s\w]?kessel\b,"Alem, Maren en Kessel",1007,10495
\balkemade\b,Alkemade,483,10349
\balkmaar\b,Alkmaar,361,10527
\balmkerk\b,Almkerk,740,10788
\balphen\b,Alphen,1008,10517
\balphen[\s\w]?en[\s\w]?riel\b,Alphen en Riel,741,10710
\bdelden\b,Ambt Delden,142,11400
\balmelo\b,Ambt-Almelo,1009,11065
\bdoetin?chem\b,Ambt-Doetinchem,1010,10396
\bhardenberg\b,Ambt-Hardenberg,1011,10174
\bommen\b,Ambt-Ommen,1012,11069
\bvollenhove\b,Ambt-Vollenhove,1013,11088
\bamb(ij|y)\b,Amby,883,10922
\bameide\b,Ameide,485,11349
\bameland\b,Ameland,60,11153
\bamerongen\b,Amerongen,306,11372
\bamersfoort\b,Amersfoort,307,10948
\bammerstol\b,Ammerstol,486,10863
\bammerzoden\b,Ammerzoden,198,10151
\bamstenrade\b,Amstenrade,884,10062
\b(amste[\s\w]?dam|amst\.)\b,Amsterdam,363,11150
\bandel\b,Andel,742,10871
\band(ij|y)k\b,Andijk,364,10822
\bangerlo\b,Angerlo,199,11131
\bankeveen\b,Ankeveen,1014,10936
\banlo\b,Anloo,105,10787
\bapeldoorn\b,Apeldoorn,200,11075
\bappeltern\b,Appeltern,201,11296
\bappingedam\b,Appingedam,3,10886
\barcen[\s\w]?en[\s\w]?velden\b,Arcen en Velden,885,10202
\barkel\b,Arkel,487,10079
\barnemuiden\b,Arnemuiden,649,11419
\barnh(em|\.)\b,Arnhem,202,10795
\basperen\b,Asperen,488,11369
\bassen\b,Assen,106,10522
\bassendelft\b,Assendelft,367,11373
\basten\b,Asten,743,10478
\bavenhorn\b,Avenhorn,368,11147
\bavereest\b,Avereest,143,11190
\baxel\b,Axel,650,11289
\bbaarderadeel\b,Baarderadeel,61,10422
\bbaardw(ij|y)k\b,Baardwijk,1015,10006
\bbaarland\b,Baarland,651,10634
\bbaarle[\s\w]?nassau\b,Baarle-Nassau,744,10060
\bbaarn\b,Baarn,308,11411
\bbaexem\b,Baexem,886,11255
\bbaflo\b,Baflo,4,10539
\bbakel[\s\w]?en[\s\w]?milheeze\b,Bakel en Milheeze,745,10749
\bbalgo(ij|y)\b,Balgoij,1016,10849
\bbarneveld\b,Barneveld,203,10906
\bbarradeel\b,Barradeel,62,10156
\bbarsingerhorn\b,Barsingerhorn,369,10973
\bbarwoutswaarder\b,Barwoutswaarder,1017,10447
\bbatenburg\b,Batenburg,204,10921
\bbath\b,Bath,1018,10623
\bbathmen\b,Bathmen,144,11030
\bbedum\b,Bedum,5,10425
\bbeegden\b,Beegden,887,11089
\bbeek\b,Beek (L.),888,11374
\bbeek[\s\w]?en[\s\w]?donk\b,Beek en Donk,746,10173
\bbeemster\b,Beemster,370,10816
\bbeers\b,Beers,747,11410
\bbeerta\b,Beerta,6,11043
\bbeesd\b,Beesd,205,10259
\bbeesel\b,Beesel,889,10195
\bbeets\b,Beets,371,10536
\bbeilen\b,Beilen,107,10520
\bbelfeld\b,Belfeld,890,10292
\bbellingewolde\b,Bellingwolde,1019,10340
\bbemelen\b,Bemelen,891,10878
\bbemmel\b,Bemmel,206,10744
\bbennebroek\b,Bennebroek,372,10734
\bbenschop\b,Benschop,309,11330
\bbenthuizen\b,Benthuizen,490,10398
\bberg[\s\w]?en[\s\w]?terbl(ij|y)t\b,Berg en Terblijt,892,10796
\bbergambacht\b,Bergambacht,491,10962
\bbergen\b,Bergen (L.),893,11281
\bbergen\b,Bergen (NH.),373,11424
\bberg([\s\w]?)en[\s\w]?op[\s\w]?zoom\b,Bergen op Zoom,748,11037
\bberge(ij|y)k\b,Bergeyk,749,11160
\bbergh\b,Bergh,207,10350
\bbergharen\b,Bergharen,208,10883
\bber(g|c)h?em\b,Berghem,750,10733
\bbergschenhoek\b,Bergschenhoek,492,10445
\bberkel[\s\w]?en[\s\w]?rodenr(ij|y)s\b,Berkel en Rodenrijs,493,10139
\bberkel[\s\w]?enschot\b,Berkel-Enschot,751,11132
